top - 23:02:31 up 13 days, 12:31,  5 users,  load average: 0,07, 0,14, 0,09
Threads: 573 total,   1 running, 572 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3,1 us,  4,7 sy,  0,0 ni, 89,1 id,  3,1 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :   3799,2 total,    526,1 free,   1688,0 used,   1874,2 buff/cache     
MiB Swap:   3798,0 total,   3694,8 free,    103,1 used.   2111,2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 164931 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164932 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164933 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164934 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164935 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164936 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164937 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164938 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164939 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164940 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164941 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164942 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164943 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164944 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164945 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164946 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164947 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164948 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164949 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164950 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164951 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164952 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164953 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164954 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164955 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164956 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164957 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164958 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164959 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164960 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164961 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164962 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164963 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164964 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164965 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164966 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164967 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164968 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164969 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164970 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164971 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164972 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164973 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164974 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164975 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164976 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164977 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164978 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164979 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164980 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164981 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
